Zkrácený název,Úplný název,Hlavní město,Kód ISO
Afghánistán,Islámská republika Afghánistán,Kábul,AF
Alandy,Alandy,Mariehamn,AX
Albánie,Albánská republika,Tirana,AL
Alžírsko,Alžírská demokratická a lidová republika,Alžír,DZ
Americká Samoa ,Teritorium Americká Samoa,Pago Pago,AS 
Americké Panenské ostrovy ,Americké Panenské ostrovy ,Charlotte Amalie ,VI
Andorra,Andorrské knížectví,Andorra la Vella,AD 
Angola,Angolská republika,Luanda,AO
Anguilla,Anguilla,The Valley,AI
Antarktida,Antarktida,—,AQ
Antigua a Barbuda,Antigua a Barbuda,St John´s ,AG
Argentina,Argentinská republika,Buenos Aires,AR
Arménie,Arménská republika,Jerevan,AM
Aruba ,Aruba,Oranjestad,AW
Austrálie,Australské společenství,Canberra ,AU
Ázerbájdžán,Ázerbájdžánská republika,Baku ,AZ
Bahamy,Bahamské společenství,Nassau ,BS
Bahrajn,Království Bahrajn,Manáma,BH
Bangladéš,Bangladéšská lidová republika,Dháka,BD
Barbados ,Barbados ,Bridgetown ,BB
Belgie,Belgické království,Brusel,BE
Belize ,Belize ,Belmopan ,BZ
Bělorusko,Běloruská republika,Minsk ,BY
Benin ,Beninská republika,Porto Novo,BJ
Bermudy,Bermudy,Hamilton ,BM
Bhútán,Bhútánské království,Thimphu ,BT
Bolívie,Bolivijská republika,Sucre,BO
Bosna a Hercegovina,Bosna a Hercegovina,Sarajevo ,BA
Botswana ,Republika Botswana,Gaborone ,BW
Bouvetův ostrov,Bouvetův ostrov,—,BV
Brazílie,Brazilská federativní republika,Brasilia ,BR
Britské indickooceánské území,Britské indickooceánské území (IO1),—,IO
Britské Panenské ostrovy,Britské Panenské ostrovy,Road Town ,VG
Brunej,Brunej Darussalam,Bandar Seri Begawan ,BN
Bulharsko,Bulharská republika,Sofie,BG
Burkina Faso ,Burkina Faso ,Ouagadougou ,BF
Burundi ,Republika Burundi,Bujumbura ,BI
Bývalá jugoslávská republika Makedonie,Bývalá jugoslávská republika Makedonie,Skopje ,(*)
Chile ,Chilská republika,Santiago de Chile,CL
Chorvatsko,Chorvatská republika,Záhřeb,HR
Cookovy ostrovy,Cookovy ostrovy (CK1),Avarua,CK
Čad,Čadská republika,Ndžamena,TD
Černá Hora,Černá Hora,Podgorica,ME
Česká republika,Česká republika,Praha,CZ
Čína,Čínská lidová republika,Peking ,CN
Dánsko,Dánské království,Kodaň,DK
Demokratická republika Kongo,Demokratická republika Kongo,Kinshasa ,CD
Dominika,Dominické společenství,Roseau ,DM
Dominikánská republika,Dominikánská republika,Santo Domingo ,DO
Džibutsko,Džibutská republika ,Džibuti,DJ
Egypt ,Egyptská arabská republika ,Káhira,EG
Ekvádor,Ekvádorská republika,Quito ,EC
Eritrea ,Stát Eritrea,Asmara ,ER
Estonsko,Estonská republika,"Tallinn, Tallin",EE
Etiopie,Etiopská federativní demokratická republika,Addis Abeba,ET
Faerské ostrovy,Faerské ostrovy,Thorshaven,FO
Falklandské ostrovy,Falklandské ostrovy,Stanley ,FK
Fidži,Republika Fidžijské ostrovy,Suva ,FJ
Filipíny,Filipínská republika,Manila ,PH
Finsko,Finská republika,Helsinky,FI
Francie ,Francouzská republika,Paříž,FR
Francouzská Guyana,zámořský departement Francouzská Guyana,Cayenne ,GF
Francouzská jižní území,Francouzská jižní území,Saint-Pierre de la Réunion,TF
Francouzská Polynésie,Zámořské společenství Francouzská Polynésie (PF1),Papeete ,PF
Gabon ,Gabonská republika,Libreville ,GA
Gambie,Gambijská republika,Banjul ,GM
Ghana ,Ghanská republika,Akkra,GH
Gibraltar ,Gibraltar (GI1),Gibraltar ,GI
Grenada ,Grenada ,St George´s,GD
Grónsko,Grónsko,Nuuk,GL
Gruzie,Gruzie,Tbilisi ,GE
Guadeloupe ,departement Guadeloupe,Basse-Terre ,GP
Guam ,Teritorium Guam (GU1),Hagåtña,GU
Guatemala ,Guatemalská republika,Guatemala ,GT
Guinea ,Guinejská republika,Conakry ,GN
Guinea-Bissau ,Republika Guinea-Bissau,Bissau ,GW
Guyana ,Guyanská republika,Georgetown ,GY
Haiti ,Haitská republika,Port-au-Prince ,HT
Heardův ostrov a McDonaldovy ostrovy,Teritorium Heardův ostrov a McDonaldovy ostrovy (HM1),—,HM
Honduras,Honduraská republika,Tegucigalpa ,HN
Hongkong,Zvláštní administrativní oblast ČLR Hongkong (HK1),Victoria ,HK
Indie,Indická republika,Dillí,IN
Indonésie,Indonéská republika,Jakarta,ID
Irák,Irácká republika,Bagdád,IQ
Írán,Íránská islámská republika,Teherán,IR
Irsko,Irsko,Dublin ,IE
Island,Islandská republika,Reykjavík,IS
Itálie,Italská republika,Řím,IT
Izrael,Stát Izrael,Jeruzalém,IL
Jamajka,Jamajka,Kingston ,JM
Japonsko,Japonsko,Tokio,JP
Jemen,Jemenská republika,San’á,YE
Jižní Afrika,Jihoafrická republika,Pretoria (ZA1),ZA
Jižní Georgie a Jižní Sandwichovy ostrovy,Jižní Georgie a Jižní Sandwichovy ostrovy (GS1),—,GS
Jižní Korea,Korejská republika,Soul,KR
Jordánsko,Jordánské hášimovské království,Ammán,JO
Kajmanské ostrovy,Kajmanské ostrovy (KY1),Georgetown ,KY
Kambodža,Kambodžské království,Phnompenh,KH
Kamerun,Kamerunská republika,Yaoundé,CM
Kanada,Kanada,Ottawa ,CA
Kapverdy,Kapverdská republika,Praia ,CV
Katar,Stát Katar,Dauhá,QA
Kazachstán,Republika Kazachstán,Astana,KZ
Keňa,Keňská republika,Nairobi ,KE
Kiribati ,Republika Kiribati,Bairiki (KI1),KI
Kokosové (Keelingovy) ostrovy ,Teritorium Kokosové (Keelingovy) ostrovy (CC1),Bantam ,CC
Kolumbie,Kolumbijská republika,Santa Fé de Bogotá,CO
Komory,Komorský svaz,Moroni ,KM
Kongo,Konžská republika,Brazaville,CG
Korea ,Korejská lidově demokratická republika,Pchjongjang,KP
Kostarika,Kostarická republika,San José ,CR
Kuba,Kubánská republika,Havana ,CU
Kuvajt,Stát Kuvajt ,Kuwait City ,KW
Kypr,Kyperská republika,Nikósie,CY
Kyrgyzstán,Kyrgyzská republika,Biškek,KG
Laos ,Laoská lidově demokratická republika,Vientiane ,LA
Lesotho ,Království Lesotho,Maseru ,LS
Libanon,Libanonská republika,Bejrút,LB
Libérie,Liberijská republika,Monrovia ,LR
Libye,Velká libyjská arabská lidová socialistická džamáhíríja,Tripolis,LY
Lichtenštejnsko,Lichtenštejnské knížectví,Vaduz ,LI
Litva,Litevská republika,Vilnius ,LT 
Lotyšsko,Lotyšská republika,Riga ,LV
Lucembursko,Lucemburské velkovévodství,Lucemburk,LU
Macao,Zvláštní administrativní oblast ČLR Macao,Macao ,MO
Madagaskar,Madagaskarská republika,Antananarivo,MG
Maďarsko,Maďarská republika,Budapešť,HU
Malajsie,Malajsie,Kuala Lumpur,MY
Malawi,Republika Malawi,Lilongwe,MW
Maledivy,Maledivská republika,Male,MV
Mali ,Republika Mali,Bamako ,ML
Malta,Republika Malta,Valletta,MT
Maroko,Marocké království,Rabat,MA
Marshallovy ostrovy,Republika Marshallovy ostrovy,"Dalap-Uliga-Darrit, DUD (MH1)",MH
Martinik,Département (d'Outre-mer) de la Martinique (MQ1),Fort-de-France,MQ
Mauricius,Mauricijská republika,Port Louis ,MU
Mauritánie,Mauritánská islámská republika,Nouakchott,MR
Mayotte ,zámořské společenství Mayotte,Mamoudzou,YT
Menší odlehlé ostrovy USA ,Menší odlehlé ostrovy USA ,—,UM
Mexiko,Spojené státy mexické,Mexiko,MX
Mikronésie,Federativní státy Mikronésie ,Palikir,FM
Moldavsko,Moldavská republika,Kišiněv,MD
Monako,Monacké knížectví,Monako,MC
Mongolsko,Mongolsko,Ulánbátar,MN
Montserrat ,Montserrat ,Plymouth ,MS
Mosambik,Mosambická republika,Maputo ,MZ
Myanmar,Svaz Myanmar,Rangún,MM
Namibie,Namibijská republika,Windhoek ,NA
Nauru ,Republika Nauru,Yaren,NR
Německo,Spolková republika Německo,Berlín,DE
Nepál,Nepálská federativní demokratická republika,Káthmándú,NP
Niger ,Nigerská republika,Niamey ,NE
Nigérie,Nigerijská federativní republika,Abuja (NG1),NG
Nikaragua,Nikaragujská republika,Managua ,NI
Niue ,Republika Niue (NU1),Alofi,NU
Nizozemské Antily,Nizozemské Antily (AN1),Willemstad ,AN
Nizozemsko ,Nizozemské království,Amsterodam (NL1),NL
Norsko,Norské království,Oslo ,NO
Nová Kaledonie,Společenství Nová Kaledonie a závislá území (NC1),Nouméa,NC
Nový Zéland,Nový Zéland,Wellington ,NZ
Okupovaná palestinská území,—,—,—
Omán,Sultanát Omán,Muscat ,OM
ostrov Norfolk,Teritorium ostrova Norfolk (NF1),Kingston ,NF
ostrovy Turks a Caicos,ostrovy Turks a Caicos (TC1) ,Cockburn Town ,TC
ostrovy Wallis a Futuna,ostrovy Wallis a Futuna (WF1),Mata-Utu,WF
Pákistán,Pákistánská islámská republika,Islámábád,PK
Palau ,Republika Palau,Melekeok,PW
Panama ,Panamská republika,Ciudad de Panamá,PA
Papua-Nová Guinea ,Nezávislý stát Papua-Nová Guinea ,Port Moresby ,PG
Paraguay ,Paraguayská republika,Asunción,PY
Peru ,Peruánská republika,Lima ,PE
