Īsais nosaukums ,Pilns nosaukums (1) ,Galvaspilsēta (3),ISO kods
Afganistāna,Afganistānas Islāma Valsts,Kabula,AF
Albānija,Albānijas Republika,Tirāna,AL
Alžīrija,Alžīrijas Tautas Demokrātiskā Republika,Alžīra,DZ
Andora,Andoras Firstiste,Andora,AD
Angola,Angolas Republika,Luanda,AO
Angilja,Angilja (AI1),Valeja,AI
Antarktika,Antarktika,—,AQ
Antigva un Barbuda,Antigva un Barbuda,Sentdžonsa,AG
Apvienotā Karaliste,Lielbritānijas un Ziemļīrijas Apvienotā Karaliste,Londona,UK
Apvienotie Arābu Emirāti,Apvienotie Arābu Emirāti,Abudabi,AE
Argentīna,Argentīnas Republika,Buenosairesa,AR
Armēnija,Armēnijas Republika,Erevāna,AM
Aruba,Aruba (AW1),Oranjestade,AW
ASV,Amerikas Savienotās Valstis,Vašingtona ,US
ASV Mazās aizjūras teritorijas,ASV Mazās Aizjūras teritorijas,—,UM
ASV Samoa ,ASV Samoa teritorija (AS1),Pagopago,AS
ASV Virdžīnas,ASV Virdžīnu salas,Šarlote Amālija,VI
Austrālija,Austrālijas Savienība (AU1),Kanbera,AU
Austrija,Austrijas Republika,Vīne,AT
Austrumtimora,Austrumtimoras Demokrātiskā Republika,Dili,TL
Azerbaidžāna,Azerbaidžānas Republika,Baku,AZ
Bahamu salas ,Bahamu Salu Sadraudzība,Nasava,BS
Bahreina,Bahreinas Karaliste,Manama,BH
Bangladeša,"Bangladešas
Tautas Republika",Daka,BD
Barbadosa,Barbadosa,Bridžtauna,BB
Baltkrievija,Baltkrievijas Republika,Minska,BY
Beļģija,Beļģijas Karaliste,Brisele,BE
Beliza,Beliza,Belmopana,BZ
Benina,Beninas Republika,Portonovo (BJ1),BJ
Bermudu salas,Bermudu salas (BM1),Hamiltona,BM
Bijusī Dienvidslāvijas Maķedonijas Republika (6),Bijusī Dienvidslāvijas Maķedonijas Republika (7),Skopje,(8)
Bolīvija,Bolīvijas Republika,Sukre (BO1),BO
Bosnija un Hercegovina ,Bosnija un Hercegovina ,Sarajeva,BA
Botsvāna,Botsvānas Republika,Gaborone,BW
Brazīlija,Brazīlijas Federatīvā Republika,Brazilja,BR
Britu Virdžīnas ,Britu Virdžīnu salas,Roudtauna,VG
Bruneja,Brunejas Darusalamas Valsts,Bandarseribegavana,BN
Bulgārija,Bulgārijas Republika,Sofija,BG
Burkinafaso,Burkinafaso,Vagadugu,BF
Burundi,Burundi Republika,Budžumbura,BI
Butāna,Butānas Karaliste,Timpu,BT
Buvē sala,Buvē sala (BV1),—,BV
Centrālāfrikas Republika,Centrālāfrikas Republika,Bangi,CF
Čada,Čadas Republika,Ndžamena,TD
Čehija,Čehijas Republika,Prāga,CZ
Čīle,Čīles Republika,Santjago,CL
Dānija,Dānijas Karaliste,Kopenhāgena,DK
Dienvidāfrika,Dienvidāfrikas Republika,Pretorija (ZA1),ZA
"Dienviddžordžija un
Dienvidsendviču salas","Dienviddžordžija un
Dienvidsendviču salas (GS1)",—,GS
Dienvidkoreja,Korejas Republika,Seula,KR
Dominika,Dominikas Sadraudzība,Rozo,DM
Dominikāna ,Dominikānas Republika,Santodomingo,DO
Džibutija,Džibutijas Republika,Džibuti,DJ
Ēģipte,Ēģiptes Arābu Republika,Kaira,EG
Ekvadora,Ekvadoras Republika,Kito,EC
Ekvatoriālā Gvineja,Ekvatoriālās Gvinejas Republika,Malabu,GQ
Eritreja,Eritrejas Valsts,Asmera,ER
Etiopija,Etiopijas Federatīvā Demokrātiskā Republika,Adisabeba,ET
Fēru salas,Fēru salas,Torshavna,FO
Fidži,Fidži Republika,Suva,FJ
Filipīnas,Filipīnu Republika,Manila,PH
Folklenda (Malvinu) salas,Folklenda (Malvinu) salas (FK1),Stenlija,FK
Francija,Francijas Republika,Parīze,FR
Francijas Dienvidjūru teritorija,Francijas Dienvidjūru teritorija (TF1),—,TF
Francijas Gviāna,Francijas Gviānas departaments,Kajenna,GF
Francijas Polinēzija,Francijas Polinēzijas teritorija (PF1),Papeete,PF
Gabona,Gabonas Republika,Librevilla,GA
Gajāna,Gajānas Kooperatīvā Republika,Džordžtauna,GY
Gambija,Gambijas Republika,Bandžula,GM
Gana,Ganas Republika,Akra,GH
Gibraltārs,Gibraltārs (GI1),Gibraltārs,GI
Grenāda ,Grenāda ,Sentdžordžesa,GD
Grenlande,Grenlande ,Nuuka,GL
Grieķija,Grieķijas Republika,Atēnas,EL
Gruzija,Gruzija,Tbilisi,GE
Guama,ASV Guamas teritorija (GU1) ,Agaņa (GU2),GU
Gvadelupa,Francijas Gvadelupas departaments,Bastēra,GP
Gvatemala,Gvatemalas Republika,Gvatemala,GT
Gvineja,Gvinejas Republika,Konakri,GN
Gvineja-Bisava,Gvinejas-Bisavas Republika,Bisava,GW
Haiti,Haiti Republika,Portoprensa,HT
Hērda sala un Makdonalda salas,Hērda salas un Makdonalda salu teritorija (HM1),—,HM
Hondurasa,Hondurasas Republika,Tegusigalpa,HN
Honkonga,Ķīnas Tautas Republikas Honkongas īpašās pārvaldes apgabals (HK1),,HK
Horvātija,Horvātijas Republika,Zagreba,HR
Igaunija,Igaunijas Republika,Tallina,EE
Indija,Indijas Republika,Deli,IN
Indijas okeāna Lielbritānijas teritorija,Indijas okeāna Lielbritānijas teritorija (IO1),—,IO
Indonēzija,Indonēzijas Republika,Džakarta,ID
Irāka,Irākas Republika,Bagdāde,IQ
Irāna,Irānas Islāma Republika,Teherāna,IR
Īrija,Īrija,Dublina,IE 
Islande,Islandes Republika,Reikjavīka,IS
Itālija,Itālijas Republika,Roma,IT
Izraēla,Izraēlas Valsts,Jeruzāleme,IL
Jamaika,Jamaika,Kingstona,JM
Japāna,Japāna,Tokija,JP
Jaunkaledonija,Jaunkaledonija un piederīgās teritorijas (NC1),Numea,NC
Jaunzēlande,Jaunzēlande,Velingtona,NZ
Jemena,Jemenas Republika,Sana,YE
Jordānija,Jordānijas Hāšimītu Karaliste,Ammana,JO
Kaboverde,Kaboverdes Republika,Praja,CV
